,promedio,min,max,std,total
Precisión,0.8670021587004185,0.7832033023447486,0.9494443692576051,0.049318987281857,
Recall,0.7123468812116536,0.6060749945734751,0.8295953382515625,0.053964954817963234,
Especificidad,0.9999052744310475,0.9998192072174111,0.999969709013629,4.734364608387515e-05,
Exactitud,0.9996611060562304,0.9994159785845808,0.9998879905638656,0.00010790105228284608,
Dice,0.7807037629340066,0.7075607453129317,0.8801055495754097,0.04199392408912131,
FPR,9.472556895257175e-05,3.029098637099818e-05,0.00018079278258885257,4.734364608386675e-05,
IoU,0.6422847046466291,0.5474615095037868,0.7858825885258486,0.05794973529595709,
TN,189734290.56666666,161165175.0,209320881.0,16204912.889091533,5692028717.0
FP,18190.466666666667,4882.0,37827.0,9562.762326626944,545714.0
FN,46391.13333333333,13176.0,78830.0,14731.797027141287,1391734.0
TP,115717.7,35327.0,197946.0,34286.757242556494,3471531.0
