Caso,TP,FP,FN,TN,Precisión,Recall,Especificidad,Exactitud,Dice,FPR,IoU
ATM_001_0000.nii.gz,116944,8309,35629,177834894,0.9336622675704375,0.7664789969391701,0.999953279069091,0.9997531514455714,0.8418506547263395,4.6720930909009776e-05,0.7268930023246851
ATM_002_0000.nii.gz,85576,6758,37648,166331458,0.92680919271341,0.6944751022528078,0.999959371934108,0.9997332355168861,0.7939951196429731,4.062806589196556e-05,0.658368081734394
ATM_003_0000.nii.gz,114546,20282,55619,209262609,0.849571305663512,0.6731466517791556,0.9999030881124439,0.9996376228571237,0.7511385507208362,9.691188755606401e-05,0.6014586735417202
ATM_004_0000.nii.gz,152377,22301,72066,177749032,0.8723308029631666,0.6789117949768984,0.9998745523272866,0.99946983573363,0.763562929537659,0.00012544767271335024,0.6175509840158221
ATM_005_0000.nii.gz,112028,7092,33998,194095586,0.9404633982538616,0.7671784476737019,0.9999634626370276,0.9997884670571598,0.8450287765985532,3.6537362972395466e-05,0.7316448751942946
ATM_006_0000.nii.gz,79519,15386,39398,177861473,0.8378799852484063,0.6686932902780931,0.9999135019581159,0.9996922174153167,0.74378688815931,8.649804188413289e-05,0.5920865505610448
ATM_007_0000.nii.gz,197946,14557,51667,209188886,0.9314974376832327,0.7930115819288258,0.9999304170151732,0.9996838241405273,0.8566939902535294,6.958298482687974e-05,0.7493129424234395
ATM_008_0000.nii.gz,74390,9289,30823,177881274,0.8889924592789111,0.7070419054679555,0.9999477825026615,0.9997746463376749,0.7876458505389323,5.221749733851818e-05,0.6496829749698695
ATM_009_0000.nii.gz,83655,16809,31711,209320881,0.8326863354037267,0.7251269871539275,0.99991970390043,0.9997683490471487,0.7751934392809156,8.029609957002965e-05,0.6329109135615661
ATM_010_0000.nii.gz,130581,29406,47844,209245225,0.8161975660522417,0.7318537200504414,0.9998594860740669,0.9996311822731295,0.7717279529094713,0.00014051392593304824,0.6283037660406773
ATM_011_0000.nii.gz,166872,28002,78830,209179352,0.8563071523138027,0.6791641907676779,0.9998661519326897,0.9994899477618507,0.7575174317257408,0.0001338480673102916,0.6096805307923888
ATM_012_0000.nii.gz,87658,14279,37187,209313932,0.8599232859511267,0.7021346469622332,0.9999317865473947,0.9997542838429628,0.7730595902673052,6.821345260529647e-05,0.63007101578448
ATM_013_0000.nii.gz,148801,16412,56281,197697226,0.9006615702154189,0.7255683092616612,0.9999169910575415,0.9996327128631389,0.8036889507014677,8.300894245848635e-05,0.6718060082891636
ATM_014_0000.nii.gz,85802,21114,49811,162634697,0.8025178644917506,0.6326974552587141,0.9998701921568606,0.9995643198010234,0.7075607453129317,0.00012980784313940065,0.5474615095037868
ATM_015_0000.nii.gz,81906,12972,49366,209308812,0.8632770505280466,0.6239411298677555,0.9999380284280398,0.9997023772238491,0.7243510944063675,6.197157196023134e-05,0.5678295111061812
ATM_016_0000.nii.gz,126700,9392,56204,186978520,0.9309878611527496,0.6927131172637012,0.9999497721542556,0.9996495393811822,0.7943673274899998,5.02278457443816e-05,0.6588800599076424
ATM_017_0000.nii.gz,89155,17402,37434,188337545,0.8366883452049138,0.7042871023548649,0.9999076106028688,0.9997090643403924,0.7647997392192017,9.238939713115154e-05,0.6191706426096075
